Date,EECI
2020/2/11,7.176200843
2020/2/12,7.173649786
2020/2/13,7.224930325
2020/2/14,7.311074525
2020/2/15,7.368058745
2020/2/16,7.439922361
2020/2/17,7.508777247
2020/2/18,7.524008911
2020/2/19,7.559566489
2020/2/20,7.571453016
2020/2/21,7.647920452
2020/2/22,7.699739379
2020/2/23,7.732357804
2020/2/24,7.779146085
2020/2/25,7.824594226
2020/2/26,7.842410104
2020/2/27,7.906829
2020/2/28,7.953733473
2020/2/29,8.003438823
2020/3/01,8.047971075
2020/3/02,8.080211742
2020/3/03,8.078149922
